,city,type,county,state,lat,lng,Date,Temperature,Cloud,Pressure,Wind
187,Imperial Beach,City,San Diego,california,32.58394439999999,-117.11308490000002,2018-12-01 21:59:45+00,63.41,1,1015.0,4.1
188,Indian Wells,City,Riverside,california,33.717631,-116.34075490000001,2018-12-01 21:59:45+00,63.07,1,1011.0,8.7
189,Indio,City,Riverside,california,33.7205771,-116.2155619,2018-12-01 21:59:45+00,63.1,1,1011.0,8.7
190,Industry,City,Los Angeles,california,34.0197335,-117.95867539999999,2018-12-01 21:59:45+00,62.92,1,1013.0,4.1
191,Inglewood,City,Los Angeles,california,33.9616801,-118.3531311,2018-12-01 21:59:45+00,63.25,1,1013.0,4.1
192,Ione,City,Amador,california,38.3526912,-120.93271770000001,2018-12-01 21:59:45+00,50.94,90,1014.0,2.1
193,Irvine,City,Orange,california,33.6845673,-117.82650490000002,2018-12-01 21:59:45+00,62.69,75,1014.0,4.1
194,Irwindale,City,Los Angeles,california,34.1069527,-117.93534129999999,2018-12-01 21:59:45+00,62.92,1,1013.0,4.1
195,Isleton,City,Sacramento,california,38.1618614,-121.6116206,2018-12-01 21:59:45+00,57.27,75,1015.0,3.1
196,Jackson,City,Amador,california,38.348802299999996,-120.7741018,2018-12-01 21:59:45+00,50.25,90,1014.0,2.1
197,Jurupa Valley,City,Riverside,california,33.9971974,-117.48548020000001,2018-12-01 21:59:45+00,62.42,90,1013.0,5.7
198,Kerman,City,Fresno,california,36.72355719999999,-120.05987900000001,2018-12-01 21:59:45+00,53.19,90,1016.0,4.1
199,King City,City,Monterey,california,36.2127439,-121.1260287,2018-12-01 21:59:45+00,53.06,90,1016.0,5.1
200,Kingsburg,City,Fresno,california,36.5138398,-119.5540175,2018-12-01 21:59:45+00,53.42,90,1015.0,4.1
201,La Ca̱ada Flintridge,City,Los Angeles,california,34.2068182,-118.2000277,2018-12-01 21:59:45+00,62.69,1,1013.0,4.1
202,La Habra,City,Orange,california,33.931859100000004,-117.94613700000001,2018-12-01 21:59:45+00,62.92,1,1013.0,4.1
203,La Habra Heights,City,Los Angeles,california,33.9608461,-117.9506186,2018-12-01 21:59:45+00,62.92,1,1013.0,1.17
204,La Mesa,City,San Diego,california,32.7678287,-117.02308390000002,2018-12-01 21:59:45+00,63.28,75,1014.0,4.1
205,La Mirada,City,Los Angeles,california,33.9172357,-118.01200859999999,2018-12-01 21:59:45+00,62.92,1,1013.0,4.1
206,La Palma,City,Orange,california,33.8463218,-118.0461393,2018-12-01 21:59:45+00,63.25,1,1013.0,4.1
207,La Puente,City,Los Angeles,california,34.0200114,-117.94950829999999,2018-12-01 21:59:45+00,62.92,1,1013.0,4.1
208,La Quinta,City,Riverside,california,33.663357299999994,-116.31000949999999,2018-12-01 21:59:45+00,68.0,1,1011.0,8.7
209,La Verne,City,Los Angeles,california,34.10084260000001,-117.7678355,2018-12-01 21:59:45+00,62.94,1,1013.0,4.1
210,Lafayette,City,Contra Costa,california,37.885758200000005,-122.1180201,2018-12-01 21:59:45+00,57.96,90,1015.0,6.7
211,Laguna Beach,City,Orange,california,33.542718900000004,-117.7853568,2018-12-01 21:59:45+00,62.62,75,1014.0,4.1
212,Laguna Hills,City,Orange,california,33.591643299999994,-117.69866040000001,2018-12-01 21:59:45+00,62.53,75,1014.0,4.1
213,Laguna Niguel,City,Orange,california,33.5236744,-117.71494380000001,2018-12-01 21:59:45+00,62.49,75,1014.0,4.1
214,Laguna Woods,City,Orange,california,33.610170200000006,-117.7251162,2018-12-01 21:59:45+00,62.64,75,1014.0,4.1
215,Lake Elsinore,City,Riverside,california,33.668077200000006,-117.3272615,2018-12-01 21:59:45+00,62.19,90,1013.0,5.7
216,Lake Forest,City,Orange,california,33.6469437,-117.6861023,2018-12-01 21:59:45+00,62.64,75,1014.0,4.1
217,Lakeport,City,Lake,california,39.0429506,-122.91582930000001,2018-12-01 21:59:45+00,50.0,40,1015.0,1.5
218,Lakewood,City,Los Angeles,california,33.853626899999995,-118.13395630000001,2018-12-01 21:59:45+00,63.25,1,1013.0,4.1
