,city,type,county,state,lat,lng
377,San Juan Bautista,City,San Benito,california,36.8455108,-121.5379974
378,San Juan Capistrano,City,Orange,california,33.5019027,-117.6627655
379,San Leandro,City,Alameda,california,37.7249296,-122.1560768
380,San Luis Obispo,City,San Luis Obispo,california,35.2827524,-120.6596156
381,San Marcos,City,San Diego,california,33.1433723,-117.1661449
382,San Marino,City,Los Angeles,california,34.121397,-118.1064585
383,San Mateo,City,San Mateo,california,37.5629917,-122.3255254
384,San Pablo,City,Contra Costa,california,37.9621457,-122.3455263
385,San Rafael,City,Marin,california,37.9735346,-122.5310874
386,San Ramon,City,Contra Costa,california,37.7799273,-121.9780153
387,Sand City,City,Monterey,california,36.6171819,-121.8482855
388,Sanger,City,Fresno,california,36.708006,-119.5559652
389,Santa Ana,City,Orange,california,33.7454725,-117.867653
390,Santa Barbara,City,Santa Barbara,california,34.4208305,-119.6981901
391,Santa Clara,City,Santa Clara,california,37.3541079,-121.9552356
392,Santa Clarita,City,Los Angeles,california,34.3916641,-118.542586
393,Santa Cruz,City,Santa Cruz,california,36.9741171,-122.0307963
394,Santa Fe Springs,City,Los Angeles,california,33.9472359,-118.0853451
395,Santa Maria,City,Santa Barbara,california,34.9530337,-120.4357191
396,Santa Monica,City,Los Angeles,california,34.0194543,-118.4911912
397,Santa Paula,City,Ventura,california,34.3541659,-119.0592705
398,Santa Rosa,City,Sonoma,california,38.440429,-122.7140548
399,Santee,City,San Diego,california,32.8383828,-116.9739167
400,Saratoga,City,Santa Clara,california,37.2638324,-122.0230146
401,Sausalito,City,Marin,california,37.8590937,-122.4852507
402,Scotts Valley,City,Santa Cruz,california,37.0510595,-122.0146841
403,Seal Beach,City,Orange,california,33.7414085,-118.1047682
404,Seaside,City,Monterey,california,36.6149217,-121.822098
405,Sebastopol,City,Sonoma,california,38.4021359,-122.8238806
406,Selma,City,Fresno,california,36.5707838,-119.6120765
407,Shafter,City,Kern,california,35.5005139,-119.2717761
408,Shasta Lake,City,Shasta,california,40.6804279,-122.3708419
409,Sierra Madre,City,Los Angeles,california,34.1616729,-118.0528456
410,Signal Hill,City,Los Angeles,california,33.8044614,-118.1678456
