,city,type,county,state,lat,lng,rain
351,Riverside,City,Riverside,california,33.9806005,-117.3754942,0.0
352,Rocklin,City,Placer,california,38.7907339,-121.2357828,0.51
353,Rohnert Park,City,Sonoma,california,38.3396367,-122.70109840000002,0.0
354,Rolling Hills,City,Los Angeles,california,33.756961499999996,-118.3539613,0.0
355,Rolling Hills Estates,City,Los Angeles,california,33.787794299999995,-118.3581284,0.0
356,Rosemead,City,Los Angeles,california,34.0805651,-118.072846,0.0
357,Roseville,City,Placer,california,38.752123499999996,-121.28800590000002,0.51
358,Ross,Town,Marin,california,37.9624239,-122.55497749999999,0.51
359,Sacramento,City,Sacramento,california,38.5815719,-121.49439960000001,0.0
360,St. Helena,City,Napa,california,38.5052429,-122.4703868,0.0
361,Salinas,City,Monterey,california,36.6777372,-121.6555013,0.38
362,San Anselmo,Town,Marin,california,37.9746458,-122.56164479999998,0.51
363,San Bernardino,City,San Bernardino,california,34.1083449,-117.2897652,0.0
364,San Bruno,City,San Mateo,california,37.6304904,-122.41108349999999,1.14
365,San Carlos,City,San Mateo,california,37.5071591,-122.26052220000001,1.14
366,San Clemente,City,Orange,california,33.4273521,-117.61260039999999,0.0
367,San Diego,City,San Diego,california,32.715738,-117.1610838,0.0
368,San Dimas,City,Los Angeles,california,34.1066756,-117.8067257,0.0
369,San Fernando,City,Los Angeles,california,34.2819461,-118.4389719,0.0
370,San Francisco,City and county,San Francisco,california,37.7749295,-122.4194155,1.14
371,San Gabriel,City,Los Angeles,california,34.09611110000001,-118.10583329999999,0.0
372,San Jacinto,City,Riverside,california,33.783908399999994,-116.95863500000002,0.0
373,San Joaquin,City,Fresno,california,36.6066162,-120.1890447,0.0
374,San Jose,City,Santa Clara,california,37.338208200000004,-121.88632859999998,1.02
375,San Juan Bautista,City,San Benito,california,36.84551079999999,-121.53799740000002,0.59
376,San Juan Capistrano,City,Orange,california,33.5019027,-117.6627655,0.0
377,San Leandro,City,Alameda,california,37.7249296,-122.1560768,1.14
378,San Luis Obispo,City,San Luis Obispo,california,35.2827524,-120.6596156,0.0
379,San Marcos,City,San Diego,california,33.1433723,-117.1661449,0.0
380,San Marino,City,Los Angeles,california,34.121396999999995,-118.1064585,0.0
381,San Mateo,City,San Mateo,california,37.562991700000005,-122.32552539999999,1.14
382,San Pablo,City,Contra Costa,california,37.96214570000001,-122.3455263,1.17
