city,type,county,state,lat,lng
Lodi,City,San Joaquin,california,38.1341477,-121.2722194
Loma Linda,City,San Bernardino,california,34.0483474,-117.2611527
Lomita,City,Los Angeles,california,33.7922392,-118.3150722
Lompoc,City,Santa Barbara,california,34.6391501,-120.4579409
Long Beach,City,Los Angeles,california,33.7700504,-118.1937395
Loomis,Town,Placer,california,38.8212889,-121.1930041
Los Alamitos,City,Orange,california,33.8032009,-118.0718894
Los Altos,City,Santa Clara,california,37.3852183,-122.1141298
Los Altos Hills,Town,Santa Clara,california,37.3796627,-122.1374637
Los Angeles,City,Los Angeles,california,34.0522342,-118.2436849
Los Banos,City,Merced,california,37.0582786,-120.8499151
Los Gatos,Town,Santa Clara,california,37.2358078,-121.9623751
Loyalton,City,Sierra,california,39.6762936,-120.2410385
Lynwood,City,Los Angeles,california,33.930293,-118.2114603
Madera,City,Madera,california,36.9613356,-120.0607176
Malibu,City,Los Angeles,california,34.0259216,-118.7797571
Mammoth Lakes,Town,Mono,california,37.648546,-118.972079
Manhattan Beach,City,Los Angeles,california,33.8847361,-118.4109089
Manteca,City,San Joaquin,california,37.7974273,-121.2160526
Maricopa,City,Kern,california,35.058858,-119.4009509
Marina,City,Monterey,california,36.6844029,-121.802173
Martinez,City,Contra Costa,california,38.0193657,-122.1341321
Marysville,City,Yuba,california,39.1457253,-121.5913547
Maywood,City,Los Angeles,california,33.9866807,-118.185349
McFarland,City,Kern,california,35.6780104,-119.2292748
Mendota,City,Fresno,california,36.7535611,-120.3815574
Menifee,City,Riverside,california,33.6971468,-117.185294
Menlo Park,City,San Mateo,california,37.4529598,-122.1817252
Merced,City,Merced,california,37.3021632,-120.4829677
Mill Valley,City,Marin,california,37.9060368,-122.5449763
Millbrae,City,San Mateo,california,37.5985468,-122.3871942
Milpitas,City,Santa Clara,california,37.4323341,-121.8995741
Mission Viejo,City,Orange,california,33.5968913,-117.6581562
Modesto,City,Stanislaus,california,37.6390972,-120.9968782
Monrovia,City,Los Angeles,california,34.1442616,-118.0019482
Montague,City,Siskiyou,california,41.7281985,-122.5278007
