index,city,type,county,state,lat,lng,uv_index,aqi,category,dominant_pollutant,date,temperature,cloud,pressure,wind(speed),rain
98,Crescent City,City,Del Norte,california,41.7557501,-124.2025913,1.3,35,Good air quality,o3,2018-12-01 06:06:27+00,9.78,1,1015.0,3.1,0.0
99,Cudahy,City,Los Angeles,california,33.9605701,-118.1853486,3.05,63,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,1,1015.0,2.6,0.0
100,Culver City,City,Los Angeles,california,34.0211224,-118.3964665,2.98,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.41,20,1015.0,3.1,0.0
101,Cupertino,City,Santa Clara,california,37.3229978,-122.0321823,2.12,56,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.63,20,1020.0,3.1,0.92
102,Cypress,City,Orange,california,33.8169366,-118.0368507,3.05,53,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.36,20,1015.0,5.33,0.0
103,Daly City,City,San Mateo,california,37.6879241,-122.4702079,2.04,62,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.15,20,1020.0,3.1,1.02
104,Dana Point,City,Orange,california,33.4672256,-117.6981014,3.2,59,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.01,1,1016.0,0.83,0.0
105,Danville,Town,Contra Costa,california,37.8215929,-121.9999606,2.02,54,Moderate air quality,pm25,2018-12-01 06:06:27+00,14.24,1,1020.0,2.1,1.02
106,Davis,City,Yolo,california,38.5449065,-121.7405167,1.86,75,Moderate air quality,pm25,2018-12-01 06:06:27+00,13.98,1,1019.0,2.1,0.0
107,Del Mar,City,San Diego,california,32.9594891,-117.2653146,3.42,51,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.27,40,1016.0,2.6,0.0
108,Del Rey Oaks,City,Monterey,california,36.5932934,-121.8349515,2.31,25,Good air quality,pm25,2018-12-01 06:06:27+00,12.03,1,1020.0,4.1,0.38
109,Delano,City,Kern,california,35.7688425,-119.2470536,2.62,91,Moderate air quality,pm25,2018-12-01 06:06:27+00,12.74,75,1019.0,2.11,0.0
110,Desert Hot Springs,City,Riverside,california,33.961124,-116.5016784,3.17,52,Moderate air quality,pm25,2018-12-01 06:06:27+00,15.6,1,1017.0,2.6,0.0
111,Diamond Bar,City,Los Angeles,california,34.0286226,-117.8103367,3.02,68,Moderate air quality,pm25,2018-12-01 06:06:27+00,17.19,1,1016.0,0.53,0.0
