city,county,state,lat,lng,UV_value
Palmdale,Los Angeles,california,34.5794343,-118.1164613,2.97
Palo Alto,Santa Clara,california,37.4418834,-122.1430195,2.12
Palos Verdes Estates,Los Angeles,california,33.8005714,-118.3900737,3.05
Paradise,Butte,california,39.7596061,-121.6219177,1.74
Paramount,Los Angeles,california,33.8894598,-118.1597911,3.05
Parlier,Fresno,california,36.6116174,-119.5270734,2.44
Pasadena,Los Angeles,california,34.1477849,-118.1445155,3
Paso Robles,San Luis Obispo,california,35.6368759,-120.6545022,2.66
Patterson,Stanislaus,california,37.4716001,-121.129656,2.16
Perris,Riverside,california,33.7825194,-117.2286478,3.1
Petaluma,Sonoma,california,38.232417,-122.6366524,1.92
Pico Rivera,Los Angeles,california,33.9830688,-118.096735,3.05
Piedmont,Alameda,california,37.8243715,-122.231635,2
Pinole,Contra Costa,california,38.0043667,-122.2988587,1.92
Pismo Beach,San Luis Obispo,california,35.1427533,-120.6412827,2.74
Pittsburg,Contra Costa,california,38.0279762,-121.8846806,1.93
Placentia,Orange,california,33.8710729,-117.8627548,3.04
Placerville,El Dorado,california,38.7296252,-120.798546,1.94
Pleasant Hill,Contra Costa,california,37.9479786,-122.0607963,2
Pleasanton,Alameda,california,37.6624312,-121.8746789,2.07
Plymouth,Amador,california,38.4818531,-120.844659,1.97
Point Arena,Mendocino,california,38.908798,-123.6930726,1.78
Pomona,Los Angeles,california,34.055103,-117.7499909,3.06
Port Hueneme,Ventura,california,34.1477829,-119.1951074,2.96
Porterville,Tulare,california,36.06523,-119.0167679,2.58
Portola,Plumas,california,39.8104567,-120.4691034,1.86
Portola Valley,San Mateo,california,37.3841066,-122.2352443,2.12
Poway,San Diego,california,32.9628232,-117.0358646,3.4
Rancho Cordova,Sacramento,california,38.5890723,-121.302728,1.87
Rancho Cucamonga,San Bernardino,california,34.1063989,-117.5931084,3.06
Rancho Mirage,Riverside,california,33.739744,-116.41279,3.24
Rancho Palos Verdes,Los Angeles,california,33.7444613,-118.3870173,3.13
Rancho Santa Margarita,Orange,california,33.640171,-117.602832,3.17
Red Bluff,Tehama,california,40.1784886,-122.2358302,1.62
Redding,Shasta,california,40.5865396,-122.3916754,1.53
Redlands,San Bernardino,california,34.0555693,-117.1825381,3.1
Redondo Beach,Los Angeles,california,33.8491816,-118.3884078,3.05
Redwood City,San Mateo,california,37.4852152,-122.2363548,2.12
Reedley,Fresno,california,36.5963395,-119.4504029,2.46
Rialto,San Bernardino,california,34.1064001,-117.3703235,3.03
Richmond,Contra Costa,california,37.9357576,-122.3477486,1.97
Ridgecrest,Kern,california,35.6224561,-117.6708966,2.77
Rio Dell,Humboldt,california,40.4993013,-124.1064369,1.56
Rio Vista,Solano,california,38.1557502,-121.6913439,1.94
Ripon,San Joaquin,california,37.7394537,-121.1354141,2.09
Riverbank,Stanislaus,california,37.7360396,-120.9354895,2.11
Riverside,Riverside,california,33.9806005,-117.3754942,3.08
Rocklin,Placer,california,38.7907339,-121.2357828,1.87
Rohnert Park,Sonoma,california,38.3396367,-122.7010984,1.88
Rolling Hills,Los Angeles,california,33.7569615,-118.3539613,3.05
Rolling Hills Estates,Los Angeles,california,33.7877943,-118.3581284,3.05
Rosemead,Los Angeles,california,34.0805651,-118.072846,3
Roseville,Placer,california,38.7521235,-121.2880059,1.83
Ross,Marin,california,37.9624239,-122.5549775,1.96
Sacramento,Sacramento,california,38.5815719,-121.4943996,1.87
St. Helena,Napa,california,38.5052429,-122.4703868,1.86
Salinas,Monterey,california,36.6777372,-121.6555013,2.32
San Anselmo,Marin,california,37.9746458,-122.5616448,1.96
San Bernardino,San Bernardino,california,34.1083449,-117.2897652,3.03
San Bruno,San Mateo,california,37.6304904,-122.4110835,2.04
San Carlos,San Mateo,california,37.5071591,-122.2605222,2.04
San Clemente,Orange,california,33.4273521,-117.6126004,3.2
San Diego,San Diego,california,32.715738,-117.1610838,3.47
San Dimas,Los Angeles,california,34.1066756,-117.8067257,3.02
San Fernando,Los Angeles,california,34.2819461,-118.4389719,3
San Francisco,San Francisco,california,37.7749295,-122.4194155,1.97
